invcount,price,prodcategory,productcolor,productname,productsizes,producturl
0,$56,"""Tops""",White,Another Trip Around The Sun White Two Piece Set (BACKORDER 5/7),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/another-trip-around-the-sun-white-two-piece-set
7,$26,"""Jewelry""",,Nineties Babe Gold Earrings,"""Default",https://www.reddressboutique.com/collections/new-today/products/nineties-babe-gold-earrings
3,$55,"""Two",Yellow,Roadtrip To Seaside Yellow Print Two Piece Set,"""X-SMALL""""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/roadtrip-to-seaside-yellow-print-crop-top
12,$28,"""Accessories""",,Hidden Lagoon Blue Round Towel,"""Default",https://www.reddressboutique.com/collections/new-today/products/hidden-lagoon-blue-round-towel
3,$42,"""Swimwear""",Blue,Total Beach Babe Royal Blue One Piece,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/total-beach-babe-royal-blue-one-piece
15,$14,"""Accessories""",THROWINGSHADE ORANGE,Throwing Shade Sunset Orange Sunglasses,"""THROWINGSHADE",https://www.reddressboutique.com/collections/new-today/products/throwing-shade-sunset-orange-sunglasses
2,$42,"""Rompers""",,Show Off Your Chic Side Blue And White Striped Romper,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/show-off-your-chic-side-blue-striped-romper
4,$78,"""Accessories""",,Let's Picnic Square Japanese Bamboo Basket Bag,"""Default",https://www.reddressboutique.com/collections/new-today/products/lets-picnic-square-japanese-bamboo-basket-bag
13,$42,"""Tops""",Black,Got You Covered Black Lace Cover Up,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/got-you-covered-black-lace-cover-up
7,$36,"""Tops""",Sunshine Yellow,Good Together Sunshine Yellow Sweater,"""S""M",https://www.reddressboutique.com/collections/new-today/products/good-together-sunshine-yellow-sweater
1,$42,"""Bottoms""",,Not A Doubt Medium Wash Cut Distressed Off Shorts,"""X-SMALL""""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/not-a-doubt-medium-wash-cut-distressed-off-shorts
0,$50,"""Accessories""",,Quay Australia Odin Tortoise Brown Sunglasses,"""Default",https://www.reddressboutique.com/collections/new-today/products/quay-australia-odin-tortoise-brown-sunglasses
2,$46,"""Swimwear""",Black Gingham,Best Kind Of Day Black Gingham Bikini Top,"""X-SMALL""""SMALL""""MEDIUM""""LARGE""""X-LARGE""",https://www.reddressboutique.com/collections/new-today/products/best-kind-of-day-black-gingham-bikini-top
2,$34,"""Swimwear""",Black Gingham,Best Kind Of Day Black Gingham Bikini Bottoms,"""X-SMALL""""SMALL""""MEDIUM""""LARGE""""X-LARGE""",https://www.reddressboutique.com/collections/new-today/products/best-kind-of-day-black-gingham-bikini-bottoms
37,$84,"""Accessories""",,Let's Picnic Large Japanese Bamboo Basket Bag In Black,"""Default",https://www.reddressboutique.com/collections/new-today/products/lets-picnic-large-japanese-bamboo-basket-bag-in-black
0,$42,"""Dresses""",Red,Holding Out For You Red Embroidered Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/holding-out-for-you-red-embroidered-dress
4,$22,"""Shoes""",Light Brown,Casual Introduction Tan Ankle Strap Sandals,"""5.5""""6""""6.5""""7""""7.5""""8""""8.5""""9""""10""",https://www.reddressboutique.com/collections/new-today/products/casual-introduction-tan-ankle-strap-sandals
14,$52,"""Jumpsuits""",,Paradise Getaway White And Blue Print Jumpsuit,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/paradise-getaway-white-and-blue-print-jumpsuit
0,$16,"""Jewelry""",White,Close To Your Heart White And Gold Earrings,"""White""",https://www.reddressboutique.com/collections/new-today/products/close-to-your-heart-white-and-gold-earrings
0,$46,"""Dresses""",Red,Here To Stay Red One Shoulder Dress (BACKORDER 5/15),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/here-to-stay-red-one-shoulder-dress
34,$14,"""Jewelry""",Teal,Looking Out Teal Beaded Earrings,"""Teal""",https://www.reddressboutique.com/collections/new-today/products/looking-out-teal-beaded-earrings
0,$44,"""Jumpsuits""",Navy,Let's Get Social Navy Blue Striped Midi Jumpsuit (BACKORDER 5/20),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/new-today/products/let-s-get-social-navy-blue-striped-midi-jumpsuit
6,$32,"""Shoes""",Camel,On The Upgrade Taupe Platform Wedge,"""5.5""""6""""6.5""""7""""7.5""""8""""8.5""""9""""10""",https://www.reddressboutique.com/collections/new-today/products/on-the-upgrade-taupe-platform-wedge
40,$14,"""Jewelry""",Yellow,Looking Out Yellow Beaded Earrings,"""Yellow""",https://www.reddressboutique.com/collections/new-today/products/looking-out-yellow-beaded-earrings
0,$68,"""Dresses""",Navy,In Any Event Navy Blue Maxi Dress (BACKORDER 5/20),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/in-any-event-navy-blue-maxi-dress
8,$58,"""Dresses""",White,I Truly Wish White Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/i-truly-wish-white-maxi-dress
12,$55,"""Dresses""",Mint,Once In A Lifetime Mint Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/once-in-a-lifetime-mint-maxi-dress
22,$66,"""Dresses""",Sunshine Yellow,Matters Of The Heart Sunshine Yellow Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/matters-of-the-heart-sunshine-yellow-maxi-dress
6,$56,"""Dresses""",White,I Thought You Were The One White Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/i-thought-you-were-the-one-white-dress
20,$66,"""Dresses""",Bright Pink,Matters Of The Heart Bright Pink Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/matters-of-the-heart-bright-pink-maxi-dress
10,$56,"""Dresses""",White,Give This A Twirl White Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/give-this-a-twirl-white-maxi-dress
26,$66,"""Dresses""",Hot Coral,Matters Of The Heart Dark Coral Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/matters-of-the-heart-dark-coral-maxi-dress
34,$68,"""Dresses""",White,In Any Event White Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/in-any-event-white-maxi-dress
24,$55,"""Dresses""",Black,Best Thing I Never Had Black Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-best-thing-i-never-had-black-dress
5,$45,"""Dresses""",Evergreen,Let It Be Dark Green Velvet Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-let-it-be-dark-green-velvet-dress
0,$55,"""Dresses""",Red,Best Thing I Never Had Red Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-best-thing-i-never-had-red-dress
0,$68,"""Dresses""",Blush Pink,In Any Event Blush Pink Maxi Dress (BACKORDER 3/30),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-in-any-event-blush-pink-maxi-dress
11,$48,"""Dresses""",Grey,Keep It Between Us Grey Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-keep-it-between-us-grey-dress
0,$56,"""Dresses""",Red,I Thought You Were The One Red Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-i-thought-you-were-the-one-red-dress
7,$66,"""Dresses""",Porcelain Rose,Matters Of The Heart Porcelain Rose Pink Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-matters-of-the-heart-porcelain-rose-pink-maxi-dress
18,$66,"""Dresses""",Rose Pink,Matters Of The Heart Dusty Pink Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-matters-of-the-heart-dusty-pink-maxi-dress
6,$58,"""Dresses""",Red,I Truly Wish Red Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-i-truly-wish-red-maxi-dress
2,$68,"""Dresses""",,Princess Diaries Royal Blue Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-princess-diaries-royal-blue-maxi-dress
7,$45,"""Dresses""",Navy,Let It Be Navy Blue Velvet Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-let-it-be-navy-blue-velvet-dress-backorder-1-24
0,$38,"""Dresses""",,Pleasantly Appealing White Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-pleasantly-appealing-white-dress
3,$66,"""Dresses""",Floral Black,Gorgeous Gal White And Black Floral Maxi Dress (BACKORDER 6/1),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-gorgeous-gal-white-and-black-maxi-dress
5,$66,"""Dresses""",Royal,Matters Of The Heart Royal Blue Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-matters-of-the-heart-royal-blue-maxi-dress
0,$68,"""Dresses""",,Beauty Transformed White And Pink Embroidered Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-beauty-transformed-white-and-pink-embroidered-maxi-dress
13,$42,"""Dresses""",Aqua Blue,Another Moment With You Aqua Blue Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/another-moment-with-you-aqua-blue-dress
13,$48,"""Jumpsuits""",Pink,Swing My Way Fuchsia Pink Midi Jumpsuit,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/swing-my-way-fuchsia-pink-midi-jumpsuit
34,$42,"""Dresses""",Coral,Make My Heart Race Coral Pink Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/make-my-heart-race-coral-pink-dress
0,$48,"""Dresses""",CANTBE BROWNPRINT,Go Out In Style Brown Python Print Dress (BACKORDER 3/30),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-brown-python-print-dress
55,$38,"""Tops""",Mint Polkadot,Dream A Dream Mint Polka Dot Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-mint-polka-dot-top
0,$48,"""Dresses""",CANTBE MINTPRINT,Go Out In Style Mint Green Cheetah Print Dress (BACKORDER 3/30),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-mint-green-cheetah-print-dress
37,$38,"""Tops""",Blue Polkadot,Dream A Dream Blue Polka Dot Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-blue-polka-dot-top
53,$38,"""Tops""",DREAM WHITEFLORAL,Dream A Dream White Floral Print Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-white-floral-print-top
51,$38,"""Tops""",DREAM REDFLORAL,Dream A Dream Red Floral Print Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-red-floral-print-top
38,$38,"""Tops""",Yellow,Dream A Dream Yellow Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-yellow-top
0,$28,"""Bottoms""",Beige,The Best Of It Beige Multi Tweed Skirt,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/the-best-of-it-beige-multi-tweed-skirt
0,$49,"""Dresses""",INSTYLE PINKMULTI,Go Out In Style Pink Multi Print Tunic Dress (BACKORDER 3/5),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-pink-multi-print-tunic-dress
56,$38,"""Tops""",Seaside,Dream A Dream Blue Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-blue-top
14,$42,"""Dresses""",Periwinkle,Another Moment With You Periwinkle Blue Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/another-moment-with-you-periwinkle-blue-dress
1,$28,"""Tops""",Bright Pink,Perfect Love Bright Pink Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-bright-pink-top
0,$28,"""Tops""",Sage,Perfect Love Sage Green Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-sage-green-top
0,$34,"""Dresses""",Black,My Favorite Night Black Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-my-favorite-night-black-dress-backorder-2-12
0,$34,"""Dresses""",Red,My Favorite Night Red Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-my-favorite-night-red-dress-backorder-1-24
0,$28,"""Tops""",Red,Perfect Love Red Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-red-top-backorder-2-10
0,$28,"""Tops""",Blush Pink,Perfect Love Blush Pink Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-blush-pink-top
52,$26,"""Tops""",,In The Beginning White Peplum Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-in-the-beginning-white-peplum-top-backorder-1-26
0,$49,"""Dresses""",INSTYLE DARKTEAL,Go Out In Style Dark Teal Blue Tunic Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-dark-teal-blue-tunic-dress
0,$49,"""Tops""",INSTYLE HONEYYELLOW,Go Out In Style Honey Yellow Tunic Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-honey-yellow-tunic-dress
0,$46,"""Dresses""",Beige,Going For It Striped Midi Dress (BACKORDER 4/15),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/story/products/going-for-it-striped-midi-dress
0,$48,"""Dresses""",,Go Out In Style Grey Snake Print Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-grey-snake-print-dress
27,$28,"""Dresses""",Fuchsia Stripe,Casual Love Fuchsia Pink Striped Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/story/products/story-casual-love-fuchsia-pink-striped-dress
4,$34,"""Dresses""",Rose Pink,Chasing Cloud Nine Coral Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/story/products/story-chasing-cloud-nine-coral-dress
